------------ Generated ActiGraph data date format M/d/yyyy at 80 Hz  -----------
Start Time 09:30:05.500
Start Date 1/1/2000
--------------------------------------------------
Accelerometer X,Accelerometer Y,Accelerometer Z
-7.761,1.632,-0.723
-7.766,1.621,-0.743
-7.771,1.610,-0.763
-7.777,1.598,-0.785
-7.782,1.586,-0.807
-7.788,1.574,-0.830
-7.795,1.561,-0.854
-7.801,1.548,-0.878
-7.807,1.534,-0.903
-7.814,1.521,-0.927
-7.820,1.508,-0.952
-7.826,1.495,-0.977
-7.833,1.481,-1.001
-7.839,1.469,-1.025
-7.845,1.456,-1.048
-7.851,1.444,-1.070
-7.856,1.432,-1.092
-7.862,1.421,-1.112
-7.867,1.410,-1.131
-7.871,1.400,-1.149
-7.876,1.391,-1.166
-7.880,1.382,-1.181
-7.883,1.375,-1.195
-7.887,1.368,-1.207
-7.889,1.362,-1.217
-7.892,1.356,-1.225
-7.893,1.352,-1.231
-7.895,1.349,-1.236
-7.896,1.347,-1.238
-7.896,1.345,-1.239
-7.896,1.345,-1.238
-7.895,1.346,-1.234
-7.894,1.348,-1.229
-7.892,1.350,-1.222
-7.890,1.354,-1.213
-7.888,1.358,-1.202
-7.885,1.364,-1.189
-7.882,1.370,-1.174
-7.878,1.377,-1.159
-7.874,1.385,-1.141
-7.869,1.393,-1.122
-7.864,1.402,-1.102
-7.859,1.412,-1.081
-7.854,1.422,-1.058
-7.848,1.433,-1.035
-7.842,1.444,-1.011
-7.836,1.455,-0.986
-7.830,1.466,-0.961
-7.824,1.478,-0.936
-7.818,1.490,-0.911
-7.812,1.502,-0.885
-7.806,1.513,-0.860
-7.800,1.525,-0.835
-7.794,1.536,-0.810
-7.788,1.547,-0.786
-7.782,1.558,-0.763
-7.777,1.568,-0.740
-7.772,1.578,-0.719
-7.767,1.587,-0.699
-7.763,1.595,-0.680
-7.758,1.603,-0.663
-7.755,1.610,-0.647
-7.751,1.616,-0.632
-7.748,1.621,-0.619
-7.746,1.626,-0.608
-7.744,1.630,-0.599
-7.742,1.632,-0.592
-7.741,1.634,-0.587
-7.740,1.635,-0.583
-7.740,1.634,-0.582
-7.741,1.633,-0.583
-7.742,1.631,-0.585
-7.743,1.627,-0.590
-7.745,1.623,-0.596
-7.747,1.618,-0.604
-7.750,1.612,-0.614
-7.753,1.605,-0.626
-7.756,1.597,-0.640
-7.760,1.589,-0.655
-7.765,1.580,-0.671
-7.770,1.570,-0.689
-7.775,1.559,-0.709
-7.780,1.548,-0.729
-7.786,1.536,-0.751
-7.791,1.524,-0.773
-7.797,1.511,-0.796
-7.803,1.498,-0.820
-7.810,1.485,-0.844
-7.816,1.472,-0.869
-7.822,1.459,-0.893
-7.829,1.445,-0.918
-7.835,1.432,-0.943
-7.841,1.419,-0.967
-7.848,1.406,-0.991
-7.854,1.393,-1.014
-7.859,1.381,-1.036
-7.865,1.369,-1.058
-7.870,1.358,-1.078
-7.875,1.348,-1.097
-7.880,1.338,-1.115
-7.885,1.328,-1.132
-7.889,1.320,-1.147
-7.892,1.312,-1.161
-7.895,1.305,-1.173
-7.898,1.299,-1.183
-7.900,1.294,-1.191
-7.902,1.290,-1.197
-7.903,1.286,-1.202
-7.904,1.284,-1.204
-7.905,1.283,-1.205
-7.905,1.283,-1.203
-7.904,1.283,-1.200
-7.903,1.285,-1.195
-7.901,1.288,-1.187
-7.899,1.291,-1.178
-7.897,1.296,-1.167
-7.894,1.301,-1.155
-7.890,1.307,-1.140
-7.886,1.314,-1.124
-7.882,1.322,-1.107
-7.878,1.330,-1.088
-7.873,1.339,-1.068
-7.868,1.349,-1.046
-7.862,1.359,-1.024
-7.857,1.370,-1.001
-7.851,1.381,-0.977
-7.845,1.392,-0.952
-7.839,1.404,-0.927
-7.833,1.415,-0.902
-7.827,1.427,-0.876
-7.821,1.439,-0.851
-7.814,1.451,-0.825
-7.808,1.462,-0.800
-7.802,1.473,-0.776
-7.797,1.484,-0.752
-7.791,1.495,-0.728
-7.786,1.505,-0.706
-7.781,1.515,-0.685
-7.776,1.524,-0.664
-7.771,1.532,-0.646
-7.767,1.540,-0.628
-7.763,1.547,-0.612
-7.760,1.553,-0.598
-7.757,1.559,-0.585
-7.754,1.563,-0.574
-7.752,1.567,-0.565
-7.751,1.569,-0.558
-7.750,1.571,-0.552
-7.749,1.572,-0.549
-7.749,1.571,-0.547
-7.749,1.570,-0.548
-7.750,1.568,-0.551
-7.751,1.565,-0.555
-7.753,1.560,-0.561
-7.755,1.555,-0.570
-7.758,1.549,-0.580
-7.761,1.542,-0.592
-7.765,1.535,-0.605
-7.769,1.526,-0.620
-7.773,1.517,-0.637
-7.778,1.507,-0.655
-7.783,1.496,-0.674
-7.788,1.485,-0.695
-7.794,1.473,-0.716
-7.800,1.461,-0.738
-7.806,1.448,-0.762
-7.812,1.435,-0.785
-7.818,1.422,-0.810
-7.825,1.409,-0.834
-7.831,1.396,-0.859
-7.837,1.382,-0.883
-7.844,1.369,-0.908
-7.850,1.356,-0.932
-7.856,1.343,-0.956
-7.862,1.331,-0.979
-7.868,1.318,-1.001
-7.873,1.307,-1.023
-7.879,1.295,-1.043
-7.884,1.285,-1.063
-7.889,1.275,-1.081
-7.893,1.265,-1.097
-7.897,1.257,-1.112
-7.901,1.249,-1.126
-7.904,1.242,-1.138
-7.906,1.236,-1.148
-7.909,1.231,-1.156
-7.910,1.227,-1.162
-7.912,1.224,-1.167
-7.913,1.221,-1.169
-7.913,1.220,-1.170
-7.913,1.220,-1.169
-7.912,1.220,-1.165
-7.911,1.222,-1.160
-7.909,1.225,-1.153
-7.907,1.228,-1.143
-7.905,1.233,-1.132
-7.902,1.238,-1.120
-7.899,1.244,-1.105
-7.895,1.251,-1.089
-7.891,1.259,-1.072
-7.886,1.267,-1.053
-7.881,1.276,-1.033
-7.876,1.286,-1.011
-7.871,1.296,-0.989
-7.865,1.307,-0.966
-7.859,1.318,-0.942
-7.853,1.329,-0.917
-7.847,1.341,-0.892
-7.841,1.352,-0.867
-7.835,1.364,-0.841
-7.829,1.376,-0.816
-7.823,1.388,-0.790
-7.817,1.399,-0.765
-7.811,1.411,-0.741
-7.805,1.422,-0.716
-7.799,1.432,-0.693
-7.794,1.442,-0.671
-7.789,1.452,-0.650
-7.784,1.461,-0.629
-7.779,1.469,-0.610
-7.775,1.477,-0.593
-7.772,1.484,-0.577
-7.768,1.490,-0.563
-7.765,1.496,-0.550
-7.763,1.500,-0.539
-7.761,1.504,-0.530
-7.759,1.506,-0.522
-7.758,1.508,-0.517
-7.757,1.509,-0.514
-7.757,1.508,-0.512
-7.757,1.507,-0.513
-7.758,1.505,-0.515
-7.760,1.502,-0.520
-7.761,1.497,-0.526
-7.764,1.492,-0.534
-7.766,1.486,-0.545
-7.770,1.479,-0.556
-7.773,1.472,-0.570
-7.777,1.463,-0.585
-7.781,1.454,-0.602
-7.786,1.444,-0.620
-7.791,1.433,-0.639
-7.797,1.422,-0.659
-7.802,1.410,-0.681
-7.808,1.398,-0.703
-7.814,1.385,-0.726
-7.820,1.372,-0.750
-7.826,1.359,-0.774
-7.833,1.346,-0.799
-7.839,1.333,-0.823
-7.845,1.319,-0.848
-7.852,1.306,-0.873
-7.858,1.293,-0.897
-7.864,1.280,-0.920
-7.870,1.267,-0.944
-7.876,1.255,-0.966
-7.882,1.244,-0.987
-7.887,1.232,-1.008
-7.892,1.222,-1.027
-7.897,1.212,-1.045
-7.901,1.202,-1.062
-7.905,1.194,-1.077
-7.909,1.186,-1.090
-7.912,1.179,-1.102
-7.914,1.173,-1.112
-7.917,1.168,-1.121
-7.918,1.164,-1.127
-7.920,1.160,-1.131
-7.921,1.158,-1.134
-7.921,1.157,-1.134
-7.921,1.157,-1.133
-7.920,1.157,-1.130
-7.919,1.159,-1.124
-7.917,1.162,-1.117
-7.915,1.165,-1.108
-7.913,1.170,-1.097
-7.910,1.175,-1.084
-7.906,1.181,-1.070
-7.903,1.188,-1.054
-7.899,1.196,-1.036
-7.894,1.204,-1.017
-7.889,1.213,-0.997
-7.884,1.223,-0.976
-7.879,1.233,-0.953
-7.873,1.244,-0.930
-7.867,1.255,-0.906
-7.861,1.266,-0.882
-7.855,1.278,-0.856
-7.849,1.289,-0.831
-7.843,1.301,-0.805
-7.837,1.313,-0.780
-7.831,1.324,-0.755
-7.825,1.336,-0.729
-7.819,1.347,-0.705
-7.813,1.358,-0.681
-7.807,1.369,-0.657
-7.802,1.379,-0.635
-7.797,1.389,-0.614
-7.792,1.398,-0.594
-7.787,1.406,-0.575
-7.783,1.414,-0.557
-7.779,1.421,-0.541
-7.776,1.427,-0.527
-7.773,1.432,-0.514
-7.770,1.437,-0.503
-7.768,1.441,-0.494
-7.767,1.443,-0.487
-7.766,1.445,-0.481
-7.765,1.445,-0.478
-7.765,1.445,-0.476
-7.765,1.444,-0.477
-7.766,1.442,-0.479
-7.767,1.438,-0.484
-7.769,1.434,-0.490
-7.771,1.429,-0.499
-7.774,1.423,-0.509
-7.777,1.416,-0.520
-7.781,1.408,-0.534
-7.785,1.400,-0.549
-7.789,1.390,-0.566
-7.794,1.380,-0.584
-7.799,1.370,-0.603
-7.804,1.358,-0.623
-7.810,1.347,-0.645
-7.816,1.334,-0.667
-7.822,1.322,-0.690
-7.828,1.309,-0.714
-7.834,1.296,-0.738
-7.840,1.283,-0.763
-7.847,1.269,-0.787
-7.853,1.256,-0.812
-7.859,1.243,-0.837
-7.866,1.230,-0.861
-7.872,1.217,-0.884
-7.878,1.204,-0.908
-7.884,1.192,-0.930
-7.889,1.180,-0.951
-7.894,1.169,-0.972
-7.900,1.158,-0.991
-7.904,1.148,-1.009
-7.909,1.139,-1.026
-7.913,1.130,-1.041
-7.916,1.123,-1.054
-7.919,1.116,-1.066
-7.922,1.110,-1.076
-7.924,1.104,-1.084
-7.926,1.100,-1.091
-7.927,1.097,-1.095
-7.928,1.095,-1.098
-7.929,1.093,-1.098
-7.928,1.093,-1.097
-7.928,1.094,-1.093
-7.927,1.095,-1.088
-7.925,1.098,-1.081
-7.923,1.102,-1.072
-7.920,1.106,-1.061
-7.917,1.111,-1.048
-7.914,1.118,-1.034
-7.910,1.125,-1.018
-7.906,1.132,-1.000
-7.902,1.141,-0.981
-7.897,1.150,-0.961
-7.892,1.159,-0.940
-7.886,1.170,-0.917
-7.881,1.180,-0.894
-7.875,1.191,-0.870
-7.869,1.203,-0.845
-7.863,1.214,-0.820
-7.857,1.226,-0.795
-7.850,1.238,-0.769
-7.844,1.249,-0.744
-7.838,1.261,-0.718
-7.832,1.272,-0.693
-7.826,1.284,-0.668
-7.820,1.295,-0.644
-7.815,1.305,-0.621
-7.809,1.316,-0.599
-7.804,1.325,-0.577
-7.799,1.334,-0.557
-7.795,1.343,-0.538
-7.791,1.350,-0.521
-7.787,1.357,-0.505
-7.783,1.364,-0.490
-7.780,1.369,-0.478
-7.778,1.373,-0.467
-7.776,1.377,-0.457
-7.774,1.380,-0.450
-7.773,1.381,-0.445
-7.772,1.382,-0.441
-7.772,1.382,-0.440
-7.773,1.380,-0.441
-7.773,1.378,-0.443
-7.775,1.375,-0.447
-7.777,1.371,-0.454
-7.779,1.365,-0.462
-7.782,1.359,-0.472
-7.785,1.352,-0.484
-7.788,1.345,-0.497
-7.792,1.336,-0.513
-7.797,1.327,-0.529
-7.801,1.317,-0.547
-7.806,1.306,-0.566
-7.812,1.295,-0.587
-7.817,1.283,-0.608
-7.823,1.271,-0.631
-7.829,1.258,-0.654
-7.835,1.245,-0.677
-7.841,1.232,-0.702
-7.848,1.219,-0.726
-7.854,1.206,-0.751
-7.860,1.192,-0.775
-7.867,1.179,-0.800
-7.873,1.166,-0.824
-7.879,1.153,-0.848
-7.885,1.140,-0.871
-7.891,1.128,-0.893
-7.896,1.117,-0.915
-7.902,1.105,-0.935
-7.907,1.095,-0.954
-7.911,1.085,-0.972
-7.916,1.075,-0.989
-7.920,1.067,-1.004
-7.923,1.059,-1.018
-7.927,1.052,-1.029
-7.929,1.046,-1.040
-7.932,1.041,-1.048
-7.933,1.037,-1.054
-7.935,1.033,-1.059
-7.935,1.031,-1.061
-7.936,1.030,-1.062
-7.936,1.029,-1.060
-7.935,1.030,-1.057
-7.934,1.032,-1.051
-7.932,1.034,-1.044
-7.930,1.038,-1.035
-7.928,1.042,-1.024
-7.925,1.048,-1.011
-7.921,1.054,-0.997
-7.917,1.061,-0.981
-7.913,1.069,-0.963
-7.909,1.077,-0.944
-7.904,1.086,-0.924
-7.899,1.096,-0.903
-7.893,1.106,-0.880
-7.888,1.117,-0.857
-7.882,1.128,-0.833
-7.876,1.139,-0.808
-7.870,1.150,-0.783
-7.864,1.162,-0.758
-7.858,1.174,-0.732
-7.851,1.186,-0.707
-7.845,1.197,-0.681
-7.839,1.209,-0.656
-7.833,1.220,-0.632
-7.827,1.231,-0.607
-7.822,1.242,-0.584
-7.816,1.252,-0.562
-7.811,1.261,-0.540
-7.806,1.271,-0.520
-7.802,1.279,-0.501
-7.798,1.287,-0.484
-7.794,1.294,-0.468
-7.790,1.300,-0.453
-7.787,1.305,-0.441
-7.785,1.310,-0.430
-7.783,1.313,-0.420
-7.781,1.316,-0.413
-7.780,1.317,-0.408
-7.779,1.318,-0.404
-7.779,1.318,-0.403
-7.780,1.317,-0.403
-7.780,1.314,-0.406
-7.782,1.311,-0.410
-7.784,1.307,-0.417
-7.786,1.302,-0.425
-7.788,1.296,-0.435
-7.792,1.289,-0.447
-7.795,1.281,-0.460
-7.799,1.272,-0.475
-7.804,1.263,-0.492
-7.808,1.253,-0.510
-7.813,1.242,-0.529
-7.819,1.231,-0.550
-7.824,1.219,-0.571
-7.830,1.207,-0.593
-7.836,1.195,-0.617
-7.842,1.182,-0.640
-7.848,1.168,-0.664
-7.855,1.155,-0.689
-7.861,1.142,-0.714
-7.867,1.129,-0.738
-7.874,1.115,-0.763
-7.880,1.102,-0.787
-7.886,1.089,-0.811
-7.892,1.077,-0.834
-7.898,1.064,-0.856
-7.903,1.053,-0.878
-7.909,1.041,-0.898
-7.914,1.031,-0.917
-7.918,1.021,-0.935
-7.923,1.011,-0.952
-7.927,1.003,-0.967
-7.930,0.995,-0.980
-7.933,0.988,-0.992
-7.936,0.982,-1.002
-7.938,0.977,-1.010
-7.940,0.973,-1.017
-7.941,0.969,-1.021
-7.942,0.967,-1.024
-7.943,0.966,-1.024
-7.942,0.966,-1.023
-7.942,0.966,-1.019
-7.941,0.968,-1.014
-7.939,0.971,-1.007
-7.937,0.974,-0.997
-7.934,0.979,-0.987
-7.931,0.984,-0.974
-7.928,0.990,-0.959
-7.924,0.997,-0.943
-7.920,1.005,-0.926
-7.916,1.013,-0.907
-7.911,1.022,-0.887
-7.906,1.032,-0.865
-7.900,1.042,-0.843
-7.894,1.053,-0.820
-7.889,1.064,-0.796
-7.883,1.075,-0.771
-7.877,1.086,-0.746
-7.870,1.098,-0.720
-7.864,1.110,-0.695
-7.858,1.122,-0.669
-7.852,1.133,-0.644
-7.846,1.145,-0.619
-7.840,1.156,-0.594
-7.834,1.167,-0.570
-7.828,1.178,-0.547
-7.823,1.188,-0.524
-7.818,1.198,-0.503
-7.813,1.207,-0.483
-7.809,1.215,-0.464
-7.804,1.223,-0.446
-7.801,1.230,-0.430
-7.797,1.236,-0.416
-7.794,1.241,-0.403
-7.792,1.246,-0.392
-7.790,1.249,-0.383
-7.788,1.252,-0.376
-7.787,1.253,-0.370
-7.786,1.254,-0.367
-7.786,1.254,-0.365
-7.786,1.253,-0.366
-7.787,1.250,-0.368
-7.788,1.247,-0.373
-7.790,1.243,-0.379
-7.792,1.238,-0.387
-7.795,1.232,-0.397
-7.798,1.225,-0.409
-7.802,1.217,-0.423
-7.806,1.208,-0.438
-7.810,1.199,-0.454
-7.815,1.189,-0.472
-7.820,1.178,-0.492
-7.825,1.167,-0.512
-7.831,1.155,-0.533
-7.836,1.143,-0.556
-7.842,1.130,-0.579
-7.849,1.118,-0.603
-7.855,1.104,-0.627
-7.861,1.091,-0.651
-7.868,1.078,-0.676
-7.874,1.064,-0.700
-7.880,1.051,-0.725
-7.886,1.038,-0.749
-7.893,1.025,-0.773
-7.899,1.013,-0.796
-7.904,1.000,-0.818
-7.910,0.989,-0.840
-7.915,0.977,-0.860
-7.920,0.967,-0.879
-7.925,0.957,-0.897
-7.929,0.947,-0.914
-7.933,0.939,-0.929
-7.937,0.931,-0.943
-7.940,0.924,-0.954
-7.943,0.918,-0.964
-7.945,0.913,-0.973
-7.947,0.909,-0.979
-7.948,0.905,-0.983
-7.949,0.903,-0.986
-7.949,0.902,-0.986
-7.949,0.901,-0.985
-7.948,0.902,-0.981
-7.947,0.904,-0.976
-7.945,0.906,-0.969
-7.943,0.910,-0.960
-7.941,0.914,-0.949
-7.938,0.920,-0.936
-7.934,0.926,-0.921
-7.931,0.933,-0.905
-7.926,0.941,-0.888
-7.922,0.949,-0.869
-7.917,0.958,-0.849
-7.912,0.968,-0.827
-7.906,0.978,-0.805
-7.901,0.988,-0.782
-7.895,0.999,-0.758
-7.889,1.011,-0.733
-7.883,1.022,-0.708
-7.877,1.034,-0.682
-7.871,1.046,-0.657
-7.864,1.057,-0.631
-7.858,1.069,-0.606
-7.852,1.081,-0.581
-7.846,1.092,-0.556
-7.840,1.103,-0.532
-7.835,1.114,-0.509
-7.829,1.124,-0.486
-7.824,1.133,-0.465
-7.819,1.142,-0.445
-7.815,1.151,-0.426
-7.811,1.159,-0.408
-7.807,1.166,-0.392
-7.803,1.172,-0.378
-7.800,1.177,-0.365
-7.798,1.181,-0.354
-7.796,1.185,-0.345
-7.794,1.188,-0.337
-7.793,1.189,-0.332
-7.792,1.190,-0.329
-7.792,1.190,-0.327
-7.792,1.188,-0.328
-7.793,1.186,-0.330
-7.795,1.183,-0.335
-7.796,1.179,-0.341
-7.799,1.173,-0.349
-7.801,1.167,-0.359
-7.804,1.160,-0.371
-7.808,1.153,-0.384
-7.812,1.144,-0.400
-7.816,1.135,-0.416
-7.821,1.125,-0.434
-7.826,1.114,-0.453
-7.831,1.103,-0.474
-7.837,1.091,-0.495
-7.843,1.079,-0.518
-7.849,1.066,-0.541
-7.855,1.053,-0.564
-7.861,1.040,-0.588
-7.867,1.027,-0.613
-7.874,1.014,-0.638
-7.880,1.000,-0.662
-7.886,0.987,-0.687
-7.893,0.974,-0.711
-7.899,0.961,-0.735
-7.905,0.948,-0.758
-7.910,0.936,-0.780
-7.916,0.924,-0.801
-7.921,0.913,-0.822
-7.926,0.902,-0.841
-7.931,0.892,-0.859
-7.935,0.883,-0.876
-7.939,0.874,-0.891
-7.943,0.867,-0.904
-7.946,0.860,-0.916
-7.949,0.854,-0.926
-7.951,0.849,-0.934
-7.953,0.844,-0.941
-7.954,0.841,-0.945
-7.955,0.839,-0.947
-7.955,0.837,-0.948
-7.955,0.837,-0.946
-7.954,0.838,-0.943
-7.953,0.839,-0.938
-7.952,0.842,-0.930
-7.949,0.846,-0.921
-7.947,0.850,-0.910
-7.944,0.855,-0.897
-7.940,0.862,-0.883
-7.937,0.869,-0.867
-7.932,0.876,-0.849
-7.928,0.885,-0.830
-7.923,0.894,-0.810
-7.918,0.903,-0.789
-7.912,0.914,-0.766
-7.907,0.924,-0.743
-7.901,0.935,-0.719
-7.895,0.946,-0.694
-7.889,0.958,-0.669
-7.883,0.970,-0.644
-7.877,0.981,-0.618
-7.870,0.993,-0.593
-7.864,1.005,-0.567
-7.858,1.016,-0.542
-7.852,1.028,-0.517
-7.846,1.039,-0.493
-7.841,1.049,-0.470
-7.835,1.059,-0.448
-7.830,1.069,-0.426
-7.825,1.078,-0.406
-7.821,1.086,-0.387
-7.817,1.094,-0.370
-7.813,1.101,-0.354
-7.809,1.107,-0.339
-7.806,1.113,-0.326
-7.804,1.117,-0.315
-7.802,1.121,-0.306
-7.800,1.123,-0.299
-7.799,1.125,-0.293
-7.798,1.126,-0.290
-7.798,1.125,-0.289
-7.798,1.124,-0.289
-7.799,1.122,-0.291
-7.800,1.118,-0.296
-7.802,1.114,-0.302
-7.804,1.109,-0.310
-7.807,1.103,-0.320
-7.810,1.096,-0.332
-7.814,1.088,-0.346
-7.818,1.080,-0.361
-7.822,1.070,-0.377
-7.827,1.060,-0.395
-7.832,1.050,-0.415
-7.837,1.038,-0.435
-7.843,1.027,-0.456
-7.848,1.014,-0.479
-7.854,1.002,-0.502
-7.861,0.989,-0.526
-7.867,0.976,-0.550
-7.873,0.962,-0.574
-7.879,0.949,-0.599
-7.886,0.936,-0.623
-7.892,0.922,-0.648
-7.898,0.909,-0.672
-7.904,0.896,-0.696
-7.910,0.884,-0.719
-7.916,0.872,-0.741
-7.922,0.860,-0.763
-7.927,0.849,-0.783
-7.932,0.838,-0.802
-7.937,0.828,-0.820
-7.941,0.819,-0.837
-7.945,0.810,-0.852
-7.949,0.802,-0.865
-7.952,0.795,-0.877
-7.954,0.789,-0.887
-7.957,0.784,-0.895
-7.958,0.780,-0.902
-7.960,0.777,-0.906
-7.961,0.774,-0.909
-7.961,0.773,-0.909
-7.961,0.773,-0.908
-7.960,0.773,-0.904
-7.959,0.775,-0.899
-7.957,0.778,-0.891
-7.955,0.781,-0.882
-7.953,0.786,-0.871
-7.950,0.791,-0.858
-7.946,0.797,-0.844
-7.942,0.804,-0.828
-7.938,0.812,-0.810
-7.934,0.820,-0.791
-7.929,0.829,-0.771
-7.924,0.839,-0.750
-7.918,0.849,-0.727
-7.912,0.860,-0.704
-7.907,0.871,-0.680
-7.901,0.882,-0.655
-7.895,0.893,-0.630
-7.888,0.905,-0.605
-7.882,0.917,-0.579
-7.876,0.929,-0.554
-7.870,0.940,-0.528
-7.864,0.952,-0.503
-7.858,0.963,-0.478
-7.852,0.974,-0.454
-7.846,0.985,-0.431
-7.841,0.995,-0.409
-7.836,1.004,-0.387
-7.831,1.013,-0.367
-7.826,1.022,-0.348
-7.822,1.030,-0.330
-7.818,1.037,-0.314
-7.815,1.043,-0.300
-7.812,1.048,-0.287
-7.809,1.052,-0.276
-7.807,1.056,-0.267
-7.806,1.059,-0.260
-7.804,1.060,-0.254
-7.804,1.061,-0.251
-7.804,1.061,-0.249
-7.804,1.059,-0.250
-7.805,1.057,-0.252
-7.806,1.054,-0.257
-7.808,1.050,-0.263
-7.810,1.044,-0.271
-7.813,1.038,-0.281
-7.816,1.031,-0.293
-7.819,1.024,-0.307
-7.823,1.015,-0.322
-7.828,1.006,-0.338
-7.832,0.996,-0.356
-7.837,0.985,-0.375
-7.843,0.974,-0.396
-7.848,0.962,-0.417
-7.854,0.950,-0.440
-7.860,0.937,-0.463
-7.866,0.924,-0.486
-7.872,0.911,-0.510
-7.879,0.898,-0.535
-7.885,0.884,-0.560
-7.891,0.871,-0.584
-7.897,0.858,-0.609
-7.904,0.845,-0.633
-7.910,0.832,-0.656
-7.916,0.819,-0.680
-7.922,0.807,-0.702
-7.927,0.795,-0.723
-7.932,0.784,-0.744
-7.937,0.773,-0.763
-7.942,0.763,-0.781
-7.946,0.754,-0.797
-7.950,0.745,-0.813
-7.954,0.737,-0.826
-7.957,0.731,-0.838
-7.960,0.724,-0.848
-7.962,0.719,-0.856
-7.964,0.715,-0.862
-7.965,0.712,-0.867
-7.966,0.710,-0.869
-7.966,0.708,-0.870
-7.966,0.708,-0.868
-7.965,0.709,-0.865
-7.964,0.710,-0.859
-7.962,0.713,-0.852
-7.960,0.716,-0.843
-7.958,0.721,-0.832
-7.955,0.726,-0.819
-7.951,0.732,-0.805
-7.948,0.739,-0.789
-7.943,0.747,-0.771
-7.939,0.755,-0.752
-7.934,0.764,-0.732
-7.929,0.774,-0.710
-7.923,0.784,-0.688
-7.918,0.795,-0.665
-7.912,0.806,-0.641
-7.906,0.817,-0.616
-7.900,0.829,-0.591
-7.894,0.840,-0.565
-7.887,0.852,-0.540
-7.881,0.864,-0.514
-7.875,0.875,-0.489
-7.869,0.887,-0.464
-7.863,0.898,-0.439
-7.857,0.909,-0.415
-7.851,0.920,-0.392
-7.846,0.930,-0.369
-7.841,0.940,-0.348
-7.836,0.949,-0.327
-7.831,0.957,-0.309
-7.827,0.965,-0.291
-7.823,0.972,-0.275
-7.820,0.978,-0.260
-7.817,0.983,-0.248
-7.814,0.988,-0.237
-7.812,0.991,-0.227
-7.811,0.994,-0.220
-7.810,0.995,-0.215
-7.809,0.996,-0.211
-7.809,0.996,-0.210
-7.809,0.995,-0.210
-7.810,0.992,-0.213
-7.811,0.989,-0.217
-7.813,0.985,-0.224
-7.815,0.980,-0.232
-7.818,0.974,-0.242
-7.821,0.967,-0.254
-7.824,0.959,-0.267
-7.828,0.950,-0.282
-7.833,0.941,-0.299
-7.837,0.931,-0.317
-7.842,0.920,-0.336
-7.848,0.909,-0.356
-7.853,0.897,-0.378
-7.859,0.885,-0.400
-7.865,0.872,-0.423
-7.871,0.859,-0.447
-7.877,0.846,-0.471
-7.884,0.833,-0.495
-7.890,0.820,-0.520
-7.896,0.806,-0.544
-7.902,0.793,-0.569
-7.909,0.780,-0.593
-7.915,0.767,-0.617
-7.921,0.754,-0.640
-7.927,0.742,-0.662
-7.932,0.730,-0.684
-7.937,0.719,-0.704
-7.942,0.708,-0.723
-7.947,0.698,-0.741
-7.951,0.689,-0.758
-7.955,0.680,-0.773
-7.959,0.673,-0.786
-7.962,0.666,-0.798
-7.965,0.660,-0.808
-7.967,0.654,-0.816
-7.969,0.650,-0.823
-7.970,0.647,-0.827
-7.971,0.645,-0.829
-7.971,0.643,-0.830
-7.971,0.643,-0.828
-7.970,0.644,-0.825
-7.969,0.645,-0.820
-7.967,0.648,-0.812
-7.965,0.652,-0.803
-7.963,0.656,-0.792
-7.960,0.661,-0.779
-7.956,0.667,-0.765
-7.952,0.674,-0.749
-7.948,0.682,-0.731
-7.944,0.691,-0.712
-7.939,0.700,-0.692
-7.934,0.709,-0.671
-7.928,0.719,-0.648
-7.923,0.730,-0.625
-7.917,0.741,-0.601
-7.911,0.752,-0.576
-7.905,0.764,-0.551
-7.898,0.775,-0.525
-7.892,0.787,-0.500
-7.886,0.799,-0.474
-7.880,0.811,-0.449
-7.874,0.822,-0.424
-7.868,0.833,-0.399
-7.862,0.844,-0.375
-7.856,0.855,-0.352
-7.851,0.865,-0.329
-7.846,0.875,-0.308
-7.841,0.884,-0.288
-7.836,0.892,-0.269
-7.832,0.900,-0.251
-7.828,0.907,-0.235
-7.825,0.913,-0.221
-7.822,0.918,-0.208
-7.819,0.923,-0.197
-7.817,0.926,-0.188
-7.815,0.929,-0.180
-7.814,0.931,-0.175
-7.814,0.931,-0.171
-7.813,0.931,-0.170
-7.814,0.930,-0.170
-7.814,0.927,-0.173
-7.816,0.924,-0.177
-7.818,0.920,-0.183
-7.820,0.915,-0.192
-7.822,0.909,-0.202
-7.826,0.902,-0.213
-7.829,0.894,-0.227
-7.833,0.885,-0.242
-7.837,0.876,-0.259
-7.842,0.866,-0.276
-7.847,0.855,-0.296
-7.852,0.844,-0.316
-7.858,0.832,-0.338
-7.864,0.820,-0.360
-7.870,0.807,-0.383
-7.876,0.794,-0.407
-7.882,0.781,-0.431
-7.888,0.768,-0.455
-7.894,0.755,-0.480
-7.901,0.741,-0.504
-7.907,0.728,-0.529
-7.913,0.715,-0.553
-7.919,0.702,-0.577
-7.925,0.689,-0.600
-7.931,0.677,-0.622
-7.937,0.665,-0.643
-7.942,0.654,-0.664
-7.947,0.643,-0.683
-7.952,0.633,-0.701
-7.956,0.624,-0.718
-7.960,0.615,-0.733
-7.963,0.608,-0.746
-7.967,0.601,-0.758
-7.969,0.595,-0.768
-7.971,0.589,-0.776
-7.973,0.585,-0.782
-7.974,0.582,-0.787
-7.975,0.580,-0.789
-7.976,0.578,-0.790
-7.975,0.578,-0.788
-7.975,0.579,-0.785
-7.974,0.580,-0.779
